City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
88,Tocopilla,CL,2022-05-14 22:16:09,-22.092,-70.1979,65.44,69,17,5.7,few clouds
89,Cape Town,ZA,2022-05-14 22:16:55,-33.9258,18.4232,60.91,75,0,10.0,clear sky
90,Plyussa,RU,2022-05-14 22:17:14,58.4308,29.3654,45.1,95,82,3.67,broken clouds
91,Bredasdorp,ZA,2022-05-14 22:07:40,-34.5322,20.0403,53.56,81,9,1.32,clear sky
92,Murray Bridge,AU,2022-05-14 22:17:16,-35.1167,139.2667,60.12,89,0,8.43,clear sky
93,Yerbogachen,RU,2022-05-14 22:06:00,61.2767,108.0108,48.76,66,12,3.02,few clouds
94,East London,ZA,2022-05-14 22:17:17,-33.0153,27.9116,61.12,78,41,5.79,scattered clouds
95,Hell,NO,2022-05-14 22:17:19,63.4455,10.9033,42.71,81,75,14.97,broken clouds
96,Lichtenburg,ZA,2022-05-14 22:17:20,-26.152,26.1597,56.97,37,1,1.32,clear sky
97,Birao,CF,2022-05-14 22:17:21,10.2849,22.7882,72.86,85,100,6.98,heavy intensity rain
98,Cidreira,BR,2022-05-14 22:09:04,-30.1811,-50.2056,64.51,91,100,7.05,moderate rain
99,Emba,KZ,2022-05-14 22:17:22,48.8264,58.1442,58.66,72,92,13.22,overcast clouds
100,Ancud,CL,2022-05-14 22:17:23,-41.8697,-73.8203,49.17,83,0,5.7,clear sky
101,Okhotsk,RU,2022-05-14 22:15:30,59.3833,143.3,35.96,90,100,11.32,light rain
102,College,US,2022-05-14 22:11:06,64.8569,-147.8028,48.07,69,100,9.22,light rain
103,Georgetown,MY,2022-05-14 22:07:38,5.4112,100.3354,82.33,89,20,0.0,moderate rain
104,Broome,US,2022-05-14 22:17:26,42.2506,-75.833,75.67,79,100,5.01,overcast clouds
105,Thompson,CA,2022-05-14 22:04:29,55.7435,-97.8558,44.76,93,100,5.75,overcast clouds
106,Lethem,GY,2022-05-14 22:17:27,3.3803,-59.7968,85.21,60,100,8.52,overcast clouds
107,Qaanaaq,GL,2022-05-14 22:15:18,77.484,-69.3632,18.54,76,95,2.64,overcast clouds
108,Emerald,AU,2022-05-14 22:13:36,-23.5333,148.1667,69.35,90,3,5.75,clear sky
109,Namibe,AO,2022-05-14 22:14:57,-15.1961,12.1522,71.44,68,0,1.66,clear sky
110,Goderich,CA,2022-05-14 22:08:19,43.7501,-81.7165,70.92,73,5,4.63,clear sky
111,Jambi,ID,2022-05-14 22:17:29,-1.6,103.6167,75.15,96,24,2.89,few clouds
112,Lebu,CL,2022-05-14 22:17:30,-37.6167,-73.65,51.49,83,10,15.23,clear sky
113,Arman,RU,2022-05-14 22:17:31,59.7,150.1667,41.02,96,100,12.97,moderate rain
114,Durazno,UY,2022-05-14 22:17:33,-33.4131,-56.5006,57.15,77,0,4.61,clear sky
115,Rabo De Peixe,PT,2022-05-14 22:17:34,37.8,-25.5833,62.11,94,20,27.63,few clouds
116,Miyako,JP,2022-05-14 22:11:11,39.6367,141.9525,54.21,65,100,2.66,overcast clouds
117,Arlit,NE,2022-05-14 22:11:30,18.7369,7.3853,88.11,13,37,13.2,scattered clouds
118,Ponta Delgada,PT,2022-05-14 22:15:07,37.7333,-25.6667,63.32,72,20,27.63,few clouds
119,Marsa Matruh,EG,2022-05-14 22:17:35,31.3525,27.2453,64.29,77,0,6.67,clear sky
120,Ende,ID,2022-05-14 22:17:37,-8.8432,121.6623,76.69,88,5,2.1,clear sky
121,Cabo San Lucas,MX,2022-05-14 22:05:32,22.8909,-109.9124,90.61,32,20,12.66,few clouds
122,San Patricio,US,2022-05-14 22:13:17,28.017,-97.5169,93.18,50,3,17.11,clear sky
123,Muisne,EC,2022-05-14 22:14:19,0.6,-80.0333,78.78,81,92,8.66,overcast clouds
124,Kutum,SD,2022-05-14 22:17:38,14.2,24.6667,79.47,39,88,5.41,overcast clouds
125,Katangli,RU,2022-05-14 22:17:39,51.7102,143.2326,32.56,100,100,9.13,light snow
126,Saint-Philippe,RE,2022-05-14 22:17:40,-21.3585,55.7679,67.59,75,53,7.38,broken clouds
127,Skibbereen,IE,2022-05-14 22:17:40,51.55,-9.2667,49.1,78,99,3.02,overcast clouds
128,Zanesville,US,2022-05-14 22:15:20,39.9404,-82.0132,77.86,73,0,3.44,clear sky
129,Saint George,US,2022-05-14 22:16:29,37.1041,-113.5841,95.43,7,0,5.01,clear sky
130,Saldanha,ZA,2022-05-14 22:08:29,-33.0117,17.9442,58.6,83,0,12.39,clear sky
131,Yulara,AU,2022-05-14 22:11:16,-25.2406,130.9889,61.9,65,87,8.86,overcast clouds
132,Kuala Terengganu,MY,2022-05-14 22:15:20,5.3302,103.1408,78.75,94,20,2.3,thunderstorm
133,Verkhnevilyuysk,RU,2022-05-14 22:17:43,63.4453,120.3167,33.22,66,43,3.87,scattered clouds
134,Kudahuvadhoo,MV,2022-05-14 22:09:44,2.6708,72.8944,83.52,76,100,19.51,overcast clouds
135,Ribeira Grande,PT,2022-05-14 22:15:37,38.5167,-28.7,60.17,70,39,29.1,light rain
136,Adrar,MR,2022-05-14 22:15:15,20.5022,-10.0711,88.72,11,70,11.74,broken clouds
137,Katherine,AU,2022-05-14 22:17:45,-14.4667,132.2667,68.32,73,75,0.0,broken clouds
138,Maubin,MM,2022-05-14 22:17:47,16.7333,95.65,79.52,86,32,3.96,scattered clouds
139,Kruisfontein,ZA,2022-05-14 22:17:48,-34.0033,24.7314,49.89,88,1,4.45,clear sky
140,Coihaique,CL,2022-05-14 22:16:59,-45.5752,-72.0662,41.61,87,0,0.0,clear sky
141,Koslan,RU,2022-05-14 22:17:49,63.4564,48.8989,47.1,91,99,3.87,overcast clouds
142,Saint-Joseph,RE,2022-05-14 22:17:51,-21.3667,55.6167,66.58,76,41,8.55,scattered clouds
143,Jumla,NP,2022-05-14 22:17:52,29.2747,82.1838,53.01,89,4,3.65,clear sky
144,Alice Springs,AU,2022-05-14 22:07:23,-23.7,133.8833,54.95,76,75,0.0,broken clouds
145,Pangody,RU,2022-05-14 22:17:53,65.85,74.4859,40.28,79,89,7.7,overcast clouds
146,Shakawe,BW,2022-05-14 22:17:54,-18.3667,21.85,61.84,34,1,1.99,clear sky
147,Zheleznodorozhnyy,RU,2022-05-14 22:15:44,55.7503,38.0042,50.52,75,51,7.23,broken clouds
148,Lompoc,US,2022-05-14 22:17:55,34.6391,-120.4579,92.84,70,0,23.0,clear sky
149,Robertsport,LR,2022-05-14 22:17:55,6.7533,-11.3686,75.49,89,99,4.7,heavy intensity rain
150,Kenai,US,2022-05-14 22:17:56,60.5544,-151.2583,54.03,36,40,16.11,scattered clouds
151,Srednekolymsk,RU,2022-05-14 22:17:57,67.45,153.6833,25.09,85,100,7.56,overcast clouds
152,Tahe,CN,2022-05-14 22:17:57,52.3333,124.7333,37.17,44,0,13.91,clear sky
153,Esperance,AU,2022-05-14 22:09:53,-33.8667,121.9,51.64,74,87,18.41,light rain
154,Ilulissat,GL,2022-05-14 22:10:54,69.2167,-51.1,28.42,43,20,9.22,few clouds
155,Ust-Kalmanka,RU,2022-05-14 22:17:59,52.1207,83.305,60.85,58,79,5.46,broken clouds
156,Inyonga,TZ,2022-05-14 22:18:00,-6.7167,32.0667,67.59,75,78,4.81,broken clouds
157,Mahon,ES,2022-05-14 22:18:00,39.8885,4.2658,63.16,88,0,5.75,clear sky
158,Verkhoyansk,RU,2022-05-14 22:18:02,67.5447,133.385,22.35,73,100,5.55,overcast clouds
159,Luau,AO,2022-05-14 22:18:03,-10.7073,22.2247,65.26,53,24,4.56,few clouds
160,Turayf,SA,2022-05-14 22:18:04,31.6725,38.6637,75.45,27,0,13.8,clear sky
161,Kavieng,PG,2022-05-14 22:18:05,-2.5744,150.7967,83.01,70,16,8.75,few clouds
162,Locri,IT,2022-05-14 22:18:06,38.2414,16.2623,66.33,67,44,12.75,scattered clouds
163,Nanortalik,GL,2022-05-14 22:14:34,60.1432,-45.2371,32.02,80,99,4.36,overcast clouds
164,Dzerzhinskoye,RU,2022-05-14 22:18:07,56.8344,95.2283,55.29,41,30,3.02,scattered clouds
165,Sinnamary,GF,2022-05-14 22:07:37,5.3833,-52.95,79.05,88,100,9.82,overcast clouds
166,Ponta Do Sol,PT,2022-05-14 22:08:50,32.6667,-17.1,68.0,80,13,6.87,few clouds
167,Candolim,IN,2022-05-14 22:18:08,15.5181,73.7626,83.53,74,100,13.13,overcast clouds
168,Riyadh,SA,2022-05-14 22:14:48,24.6877,46.7219,75.34,11,0,14.09,clear sky
169,Yeppoon,AU,2022-05-14 22:14:24,-23.1333,150.7333,67.78,85,0,3.87,clear sky
170,Solton,RU,2022-05-14 22:18:10,52.8429,86.4787,56.89,51,98,3.6,overcast clouds
171,Nhulunbuy,AU,2022-05-14 22:18:11,-12.2333,136.7667,72.21,88,13,0.0,few clouds
